Date,Close,Open,High,Low,Volume (in Billion)
2000-01-03,"1,592.20","1,482.15","1,592.90","1,482.15",25.36
2000-01-04,"1,638.70","1,594.40","1,641.95","1,594.40",38.79
2000-01-05,"1,595.80","1,634.55","1,635.50","1,555.05",62.15
2000-01-06,"1,617.60","1,595.80","1,639.00","1,595.80",51.27
2000-01-07,"1,613.30","1,616.60","1,628.25","1,597.20",54.32
2000-01-10,"1,632.95","1,615.65","1,662.10","1,614.95",45.01
2000-01-11,"1,572.50","1,633.25","1,639.90","1,548.25",49.12
2000-01-12,"1,624.80","1,572.30","1,631.55","1,571.70",38.36
2000-01-13,"1,621.40","1,627.85","1,671.15","1,613.65",44.74
2000-01-14,"1,622.75","1,622.15","1,627.40","1,591.40",43.29
2000-01-17,"1,611.60","1,623.50","1,668.45","1,604.65",42.68
2000-01-18,"1,606.70","1,611.65","1,615.15","1,587.85",37.56
2000-01-19,"1,634.85","1,610.05","1,644.45","1,608.85",42.98
2000-01-20,"1,601.10","1,634.65","1,644.40","1,596.65",42.62
2000-01-21,"1,620.60","1,601.25","1,626.50","1,593.20",39.72
2000-01-24,"1,613.60","1,623.05","1,645.00","1,608.30",34.73
2000-01-25,"1,586.40","1,612.95","1,613.65","1,579.55",36.88
2000-01-27,"1,603.90","1,600.50","1,633.55","1,600.05",38.10
2000-01-28,"1,599.10","1,603.65","1,610.90","1,592.70",46.56
2000-01-31,"1,546.20","1,598.35","1,598.35","1,538.70",36.15
2000-02-01,"1,549.50","1,546.20","1,554.15","1,521.40",37.16
2000-02-02,"1,588.00","1,554.20","1,605.90","1,554.20",39.36
2000-02-03,"1,597.90","1,591.25","1,616.70","1,591.25",40.83
2000-02-04,"1,599.75","1,598.50","1,621.35","1,596.45",30.46
2000-02-07,"1,636.60","1,599.80","1,645.90","1,599.80",34.67
2000-02-08,"1,662.75","1,636.60","1,676.10","1,636.60",40.72
2000-02-09,"1,689.65","1,666.95","1,731.65","1,666.70",41.77
2000-02-10,"1,711.20","1,692.10","1,713.70","1,692.10",30.11
2000-02-11,"1,756.00","1,712.85","1,771.65","1,712.85",33.41
2000-02-14,"1,744.50","1,777.75","1,795.45","1,738.75",31.62
2000-02-15,"1,702.55","1,744.50","1,744.50","1,694.45",39.14
2000-02-16,"1,711.10","1,704.85","1,742.80","1,704.15",31.31
2000-02-17,"1,742.10","1,710.05","1,753.10","1,710.05",28.33
2000-02-18,"1,717.80","1,742.30","1,764.15","1,713.45",24.49
2000-02-21,"1,753.50","1,719.55","1,767.80","1,719.55",26.02
2000-02-22,"1,739.05","1,754.20","1,781.05","1,733.55",33.43
